url,maker,date,image_list,n_images,locat,c1,c2,c3,Carrozzeria,Tipo di veicolo,Trazione,Posti,Porte,Versione per nazione,Usato garantito,Chilometraggio,Anno,Potenza,Tipo di cambio,Altre fonti energetiche,Classe emissioni,Comfort,Intrattenimento / Media,Sicurezza,Extra,Colore,Colore finiture interne,Materiale,Acconto,Costo del trasferimento ,Costo di registrazione,"Totale, unico",Tipo di contratto,Chilometraggio p.a.,Durata,Quota mensile,Tasso di interesse effettivo,Interessi passivi pagati p.a.,Prestito netto,Rata finale,Proprietari,Tagliandi certificati,Veicolo non fumatori,Cilindrata,Marce,Cilindri,Peso a vuoto,Tipo di vernice,Importo totale della locazione,Fattore di locazione,Più km costi,Risarcimento per meno km,Offerta n.,Carburante,Emissioni CO₂,Colore specifico,Prezzo auto,Anticipo,Importo finanziato,Importo totale dovuto,TAEG,TAN Fisso,Rata,Anno di produzione,Revisione,Per neopatentati,Ultimo tagliando,Cambio cinghia distribuzione,Portata massima,Prezzo veicolo,Numero rate,Importo da rimborsare,Importo rate
/annunci/audi-q5-40tdi-mild-2022-sline-auto-tetto-matrix-km0-new-elettrica-diesel-grigio-dc9eddbe-4ec2-40dd-8db1-0457de02781d,Audi,2022-11-22 22:40:29.863267,"['https://prod.pictures.autoscout24.net/listing-images/dc9eddbe-4ec2-40dd-8db1-0457de02781d_09c003af-455c-46d8-aad1-06a4e02e6b66.jpg', 'https://prod.pictures.autoscout24.net/listing-images/dc9eddbe-4ec2-40dd-8db1-0457de02781d_65258740-6d4a-4fa2-ba43-8d0de6cf769f.jpg', 'https://prod.pictures.autoscout24.net/listing-images/dc9eddbe-4ec2-40dd-8db1-0457de02781d_cce56cd5-ad99-473c-a7cd-6eb8e213bf7f.jpg', 'https://prod.pictures.autoscout24.net/listing-images/dc9eddbe-4ec2-40dd-8db1-0457de02781d_b205de3a-ae01-4c32-b33e-94bf6ab554e2.jpg', 'https://prod.pictures.autoscout24.net/listing-images/dc9eddbe-4ec2-40dd-8db1-0457de02781d_648d5154-e223-4730-acf5-6d99f37d0940.jpg', 'https://prod.pictures.autoscout24.net/listing-images/dc9eddbe-4ec2-40dd-8db1-0457de02781d_a5cc6b23-5508-4160-a51b-8781c7ad70d7.jpg', 'https://prod.pictures.autoscout24.net/listing-images/dc9eddbe-4ec2-40dd-8db1-0457de02781d_2c7d7042-7927-43f5-8f46-67f7bcfe8e9c.jpg', 'https://prod.pictures.autoscout24.net/listing-images/dc9eddbe-4ec2-40dd-8db1-0457de02781d_9e948d9c-6768-4aad-965c-437005a6a5f6.jpg', 'https://prod.pictures.autoscout24.net/listing-images/dc9eddbe-4ec2-40dd-8db1-0457de02781d_9a8a4ccd-7d93-4ad0-9e28-cc89e7c3dc69.jpg']",9,"Roma, IT",,,,S UV/Fuoristrada/Pick-up,Usato,4x4,5,5,Italia,24 mesi,40 km,06/2022,150 k W (204 C V),Automatico,Corrente elettrica ,Euro 6d-T EM P,"Alzacristalli elettrici Bracciolo Chiusura centralizzata senza chiave Climatizzatore automatico, 3 zone Cruise Control Hill Holder Portellone posteriore elettrico Regolazione elettrica sedili Sensore di luminosità Sensore di pioggia Sensori di parcheggio assistito anteriori Sensori di parcheggio assistito posteriori Sistema di navigazione Sistema di parcheggio automatico Specchietti laterali elettrici Supporto lombare Telecamera per parcheggio assistito Tetto panoramico Tettuccio apribile Volante in pelle Volante multifunzione",Android Auto Apple Car Play Autoradio Autoradio digitale Bluetooth Carica per smartphone a induzione Computer di bordo Hotspot Wi-Fi Sound system Streaming musicale integrato US BVivavoce,A BS Adaptive Cruise Control Airbag conducente Airbag laterali Airbag passeggero Antifurto Assistente abbaglianti Blind spot monitor Chiusura centralizzata Chiusura centralizzata telecomandata Controllo automatico trazione Controllo elettronico della corsia ES PFari di profondità antiabbagliamento Fari direzionali Fari full-L ED Frenata d'emergenza assistita Immobilizzatore elettronico Isofix Limitatore di velocità Riconoscimento dei segnali stradali Servosterzo Sistema di avviso di distanza Sistema di chiamata d'emergenza Sistema di controllo pressione pneumatici Sistema di riconoscimento della stanchezza,"Cerchi in lega (19"")Controllo vocale Freno di stazionamento elettrico Leve al volante Luce d'ambiente Specchietto retrovisore con funzione antiabbagliamento Touch screen",Grigio,Nero,Pelle parziale,"€ 0,-",Keine Angabe,Keine Angabe,"€ 0,-",Kilometerleasing,10.000 km,48 Monate,"€ 755,-","4,23 %","4,23 % gebunden","€ 54.880,-","€ 0,-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/annunci/audi-rs-q8-4-0-mhev-quattro-tiptronic-elettrica-benzina-grigio-66b3a901-ba0c-4ead-af4b-0b279eb84041,Audi,2022-11-22 22:40:30.557921,[],0,"Pistoia - PT, IT","12,1",,,S UV/Fuoristrada/Pick-up,Aziendale,4x4,5,5,,24 mesi,20.000 km,05/2021,441 k W (600 C V),Semiautomatico,Corrente elettrica ,Euro 6d-T EM P,"360° camera Alzacristalli elettrici Bracciolo Chiusura centralizzata senza chiave Climatizzatore Climatizzatore automatico, 4 zone Cruise Control Head-up display Hill Holder Parabrezza riscaldato Portellone posteriore elettrico Regolazione elettrica sedili Riscaldamento ausiliario Sedile passeggero ribaltabile Sedile posteriore sdoppiato Sedili riscaldati Sensore di luminosità Sensore di pioggia Sensori di parcheggio assistito anteriori Sensori di parcheggio assistito posteriori Sistema di navigazione Sistema di parcheggio automatico Sospensioni pneumatiche Specchietti laterali elettrici Start/Stop Automatico Supporto lombare Telecamera per parcheggio assistito Vetri oscurati Volante in pelle Volante multifunzione",Android Auto Apple Car Play Autoradio Autoradio digitale Bluetooth CD Carica per smartphone a induzione Computer di bordo Funzione T VHotspot Wi-Fi MP3 Schermo multifunzione interamente digitale Sound system Streaming musicale integrato US BVivavoce,A BS Adaptive Cruise Control Airbag conducente Airbag laterali Airbag passeggero Airbag posteriore Airbag testa Antifurto Assistente abbaglianti Blind spot monitor Chiusura centralizzata Chiusura centralizzata telecomandata Controllo automatico trazione Controllo elettronico della corsia ES PFari L ED Fari al laser Fari direzionali Fari full-L ED Fendinebbia Frenata d'emergenza assistita Immobilizzatore elettronico Isofix Limitatore di velocità Luci diurne Luci diurne L ED Riconoscimento dei segnali stradali Servosterzo Sistema di avviso di distanza Sistema di chiamata d'emergenza Sistema di controllo pressione pneumatici Sistema di riconoscimento della stanchezza Sistema di visione notturna,"Cerchi in lega (23"")Controllo vocale Divisori per bagagliaio Freno di stazionamento elettrico Kit antipanne Kit fumatori Leve al volante Luce d'ambiente Pacchetto invernale Pacchetto sportivo Pneumatici quattro stagioni Ruota di riserva Ruotino Sedili sportivi Sistema lavafari Ski bag Sospensioni sportive Specchietto retrovisore con funzione antiabbagliamento Spoiler Touch screen",Grigio,Nero,Alcantara,"€ 12.146,88",Keine Angabe,Keine Angabe,"€ 12.146,88",Kilometerleasing,10.000 km,42 Monate,"€ 499,-","2,18 %","2,16 % gebunden","€ 59.680,30",,1,Sì,Sì,3.996 cm³,8,8,2.390 kg,Metallizzato,"€ 33.104,88","0,58","€ 0,1080","€ 0,0720",,,,,,,,,,,,,,,,,,,,,
/annunci/audi-q3-q3-35-2-0-tdi-business-advanced-s-tronic-diesel-argento-cf6e1101-7a35-41fe-9ab7-63414148f213,Audi,2022-11-22 22:40:31.167324,"['https://prod.pictures.autoscout24.net/listing-images/cf6e1101-7a35-41fe-9ab7-63414148f213_c114f0cc-64ed-479c-91a2-79abeb064a54.jpg', 'https://prod.pictures.autoscout24.net/listing-images/cf6e1101-7a35-41fe-9ab7-63414148f213_600b5a19-8e09-447a-83b6-29042701d485.jpg', 'https://prod.pictures.autoscout24.net/listing-images/cf6e1101-7a35-41fe-9ab7-63414148f213_a9fcbd57-e90f-4660-b3a3-586d7bd212fa.jpg', 'https://prod.pictures.autoscout24.net/listing-images/cf6e1101-7a35-41fe-9ab7-63414148f213_da8bd6a3-40e7-4cd4-b56e-3c30d1936d14.jpg', 'https://prod.pictures.autoscout24.net/listing-images/cf6e1101-7a35-41fe-9ab7-63414148f213_eae25e7a-67a8-4a10-bb01-144a2bb788de.jpg', 'https://prod.pictures.autoscout24.net/listing-images/cf6e1101-7a35-41fe-9ab7-63414148f213_10630670-8b77-4b7f-997c-3cda266ca584.jpg', 'https://prod.pictures.autoscout24.net/listing-images/cf6e1101-7a35-41fe-9ab7-63414148f213_cd503bce-9623-4834-a131-177f544fb4c4.jpg', 'https://prod.pictures.autoscout24.net/listing-images/cf6e1101-7a35-41fe-9ab7-63414148f213_e581d1a8-5214-4d44-b347-a0db085b1d97.jpg']",8,"Castellanza, IT",,,,S UV/Fuoristrada/Pick-up,Usato,Anteriore,5,5,,24 mesi,28.415 km,08/2021,110 k W (150 C V),Automatico,,Euro 6d-T EM P,Climatizzatore Controllo automatico clima,,,"Cerchi in lega (18"")",Argento,Nero,Stoffa,"€ 0,-","€ 1.040,-","€ 0,-","€ 1.040,-",Kilometerleasing,10.000 km,48 Monate,"€ 1.787,-","4,86 %","4,86 % gebunden","€ 157.120,-",,,,,1.968 cm³,7,4,1.655 kg,,"€ 85.776,-",1,"€ 0,5474","€ 0,1964",690818,Diesel,118 g/km (comb.),A RG EN TO M ET.,,,,,,,,,,,,,,,,,
/annunci/mercedes-benz-a-180-a-180-cdi-elegance-diesel-grigio-43f7fde3-e5fa-4439-8c8d-5b174384fd86,Mercedes-Benz,2022-11-22 22:40:44.149550,[],0,"Como, IT","5,2",7,4,Monovolume,Usato,Anteriore,5,3,,,141.500 km,06/2008,80 k W (109 C V),Manuale,,,Alzacristalli elettrici Bracciolo Climatizzatore Sedile passeggero ribaltabile Sedile posteriore sdoppiato Volante multifunzione,Autoradio Bluetooth CD Computer di bordo MP3 Sound system Vivavoce,A BS Airbag conducente Airbag laterali Airbag passeggero Antifurto Assistente abbaglianti Chiusura centralizzata Chiusura centralizzata telecomandata Controllo automatico trazione ES PFari di profondità antiabbagliamento Fendinebbia Immobilizzatore elettronico Isofix Servosterzo Sistema di controllo pressione pneumatici,"Cerchi in lega (16"")Luce d'ambiente Pneumatici da neve Pneumatici estivi Ruota di riserva Specchietto retrovisore con funzione antiabbagliamento",Grigio,Nero,Pelle parziale,"€ 3.000,-",Enthalten,Enthalten,"€ 3.000,-",Kilometerleasing,10.000 km,36 Monate,"€ 299,-","4,99 %","4,88 % gebunden","€ 29.995,-",,,,,1.991 cm³,6,4,1.345 kg,Metallizzato,"€ 13.857,24","2,16","€ 0,1200","€ 0,0800",,Diesel,138 g/km (comb.),,"€ 3.899,-",-,"€ 3.900,-","€ 4.807,95","8,93 %","7,00 %","€ 77,22",,,,,,,,,,
/annunci/mercedes-benz-glb-200-x247-glb-200-d-automatic-4matic-premium-diesel-nero-74a85469-7ce9-4944-b0a5-8f3aa24b2d6a,Mercedes-Benz,2022-11-22 22:40:44.959953,"['https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_d7aeb028-f214-4bf5-a2c0-3aef99a3dc42.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_b0e53d99-aae8-4991-b4f8-be189321aefc.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_0c53ea12-4c6f-4f57-964b-a2ee03e2b6df.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_91d06009-061e-4115-baa1-344e7da9e0a9.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_b42a744e-c153-4a26-bc6d-b8ac2dc54153.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_0db73061-cd2a-400b-b0dd-c3c62b099c10.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_20f09571-f20b-499a-a54c-2c71cef099b3.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_34c85e56-3c78-4618-b911-3a29974ce8b5.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_41db0d82-1011-461e-947b-1f8ee4a3533b.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_f6b67229-a8ef-4afc-af38-c86838a8e762.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_3c8af74b-491b-480f-9845-ff1f1108c99b.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_cb068edb-7a9d-4413-b624-346892e64859.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_6ef3bc76-08fb-4da4-b260-b0eff45a3bc6.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_38395425-d408-4e16-99bf-5a95c4c44e22.jpg', 'https://prod.pictures.autoscout24.net/listing-images/74a85469-7ce9-4944-b0a5-8f3aa24b2d6a_82185b8d-efca-419b-b261-eac9aae6280f.jpg']",15,"Bolzano - Bz, IT","5,2","6,2","4,6",S UV/Fuoristrada/Pick-up,Usato,4x4,5,5,,,80.507 km,02/2020,110 k W (150 C V),Automatico,,Euro 6,Climatizzatore Controllo automatico clima Cruise Control Sedile posteriore sdoppiato Sensore di pioggia Telecamera per parcheggio assistito,Autoradio,Airbag laterali Airbag passeggero Frenata d'emergenza assistita Riconoscimento dei segnali stradali Sistema di chiamata d'emergenza Sistema di controllo pressione pneumatici,Cerchi in lega Sedili sportivi,Nero,Grigio,Pelle parziale,"€ 7.798,-",Keine Angabe,Keine Angabe,"€ 7.798,-",Kilometerleasing,10.000 km,36 Monate,"€ 251,-","6,77 %","6,77 % gebunden","€ 38.990,-","€ 27.953,62",1,,,1.950 cm³,8,4,,Metallizzato,,,"€ 0,0000","€ 0,0000",6402460,Diesel,136 g/km (comb.),Nero,,,,,,,,2020,02/2024,,,,,,,,
/annunci/mercedes-benz-a-200-a-200-sport-auto-benzina-bianco-3f7a5afe-7e27-4505-a365-80a0e726ec58,Mercedes-Benz,2022-11-22 22:40:45.575458,"['https://prod.pictures.autoscout24.net/listing-images/3f7a5afe-7e27-4505-a365-80a0e726ec58_7a9deeaa-236d-4176-ba3a-3ed3e3bfc5e1.jpg', 'https://prod.pictures.autoscout24.net/listing-images/3f7a5afe-7e27-4505-a365-80a0e726ec58_6576e0d2-f668-4a43-8fcf-2f8bf2ff7c36.jpg', 'https://prod.pictures.autoscout24.net/listing-images/3f7a5afe-7e27-4505-a365-80a0e726ec58_e850c8a8-94ff-4606-b34e-7894a7526702.jpg', 'https://prod.pictures.autoscout24.net/listing-images/3f7a5afe-7e27-4505-a365-80a0e726ec58_f0f88898-aa8f-4e1e-9a56-82bf0372d11b.jpg', 'https://prod.pictures.autoscout24.net/listing-images/3f7a5afe-7e27-4505-a365-80a0e726ec58_ba3837c9-4bfb-444f-a5a1-d14b360344e8.jpg', 'https://prod.pictures.autoscout24.net/listing-images/3f7a5afe-7e27-4505-a365-80a0e726ec58_67bd4b8f-3394-4671-a442-c71bbc5f36dc.jpg', 'https://prod.pictures.autoscout24.net/listing-images/3f7a5afe-7e27-4505-a365-80a0e726ec58_ceb47ac9-95ad-4898-86e1-71036bafc0ea.jpg', 'https://prod.pictures.autoscout24.net/listing-images/3f7a5afe-7e27-4505-a365-80a0e726ec58_5f83a4a3-498c-45f9-ad8b-c7e95943276d.jpg']",8,"Castellanza, IT",,,,Berlina,Usato,Anteriore,5,5,,24 mesi,10 km,06/2022,120 k W (163 C V),Automatico,,Euro 6d-T EM P,,,,"Cerchi in lega (17"")",Bianco,Nero,Stoffa,"€ 16.990,-",Keine Angabe,Keine Angabe,"€ 16.990,-",Kilometerleasing,10.000 km,48 Monate,"€ 675,-","5,2 %","5,08 % gebunden","€ 81.339,42",,,,,1.332 cm³,7,4,1.375 kg,,"€ 49.390,-","0,79","€ 0,1284","€ 0,0856",690516,Benzina,120 g/km (comb.),B IA NC O,,,,,,,,,,,,,,,,,
/annunci/bmw-x1-x1-sdrive18i-advantage-140cv-benzina-nero-b4379216-faf8-41ac-a349-29e4237422aa,BMW,2022-11-22 22:40:58.893364,"['https://prod.pictures.autoscout24.net/listing-images/b4379216-faf8-41ac-a349-29e4237422aa_782e2a71-d49e-4091-a16a-c0e728920d67.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b4379216-faf8-41ac-a349-29e4237422aa_25daa490-9ff0-49e3-bede-6c28641c2e95.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b4379216-faf8-41ac-a349-29e4237422aa_45650514-4327-4cf2-aa86-925e57af4209.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b4379216-faf8-41ac-a349-29e4237422aa_ee915364-b117-42d9-a8d8-327407ec0a12.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b4379216-faf8-41ac-a349-29e4237422aa_906d7a39-976a-4708-a291-9a1ce398eb9f.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b4379216-faf8-41ac-a349-29e4237422aa_a2ef8ffb-997a-413c-b148-42b8ba3cd909.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b4379216-faf8-41ac-a349-29e4237422aa_91a3bb44-9648-4cea-8bfc-5fa7c4e91961.jpg', 'https://prod.pictures.autoscout24.net/listing-images/b4379216-faf8-41ac-a349-29e4237422aa_565ce6ae-5660-44e7-b33a-ffde9bd0bb25.jpg']",8,"Castellanza, IT",,,,S UV/Fuoristrada/Pick-up,Usato,Anteriore,5,5,,24 mesi,23.815 km,06/2019,103 k W (140 C V),Manuale,,Euro 6d-T EM P,,Computer di bordo,,"Cerchi in lega (17"")",Nero,Nero,Stoffa,"€ 0,-","€ 790,-","€ 0,-","€ 790,-",Kilometerleasing,10.000 km,48 Monate,"€ 235,-",0 %,"3,44 % gebunden","€ 19.927,-",,,,,1.499 cm³,6,3,1.475 kg,,"€ 11.280,-","0,93","€ 0,0000","€ 0,0000",690821,Benzina,125 g/km (comb.),N ER O M ET.,"€ 29.500,-",-,"€ 29.500,-","€ 36.503,40","9,09 %","8,51 %","€ 605,24",,,,,,,,,,
/annunci/bmw-530-diesel-nero-d946b127-1afd-4b3f-be2c-a861c8a9fe2e,BMW,2022-11-22 22:40:59.510810,"['https://prod.pictures.autoscout24.net/listing-images/d946b127-1afd-4b3f-be2c-a861c8a9fe2e_8e279f98-0cca-413b-b881-41a6c65e0135.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d946b127-1afd-4b3f-be2c-a861c8a9fe2e_5384ba30-6b06-49c8-9ca7-309a3fe9e2a7.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d946b127-1afd-4b3f-be2c-a861c8a9fe2e_bb05b819-f662-402e-8199-b2aaffb35c2e.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d946b127-1afd-4b3f-be2c-a861c8a9fe2e_3e475de6-e266-44c3-8ca8-d97b827e4de2.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d946b127-1afd-4b3f-be2c-a861c8a9fe2e_112b510a-9e46-4774-9860-9fd1d7983cbd.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d946b127-1afd-4b3f-be2c-a861c8a9fe2e_6a8c2ab6-2971-4ea1-89a7-73dd730a14d9.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d946b127-1afd-4b3f-be2c-a861c8a9fe2e_2b6d51cd-5967-471c-829c-d3265b0f7d02.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d946b127-1afd-4b3f-be2c-a861c8a9fe2e_d05b7c65-2460-48b2-8961-6b2ea785b67a.jpg', 'https://prod.pictures.autoscout24.net/listing-images/d946b127-1afd-4b3f-be2c-a861c8a9fe2e_83e0d3f8-7697-4003-9809-acdd0ef77199.jpg']",9,"Valle Lomellina, IT",,,,Altro,Usato,,,,,,304.512 km,11/2013,180 k W (245 C V),,,,,,,,Nero,,,"€ 4.500,-","€ 890,-",Keine Angabe,"€ 5.390,-",Kilometerleasing,10.000 km,48 Monate,"€ 419,88","4,99 %","4,88 % gebunden","€ 20.154,24",,,,,,,,,,,,"€ 0,1218","€ 0,0812",,Diesel,,,"€ 7.500,-",-,"€ 7.500,-","€ 9.243,75","8,92 %","7,71 %","€ 151,-",,,,,,,,,,
/annunci/bmw-x1-x1-sdrive18d-xline-auto-diesel-bianco-9ea6653e-c1c4-4208-a855-561ede510a65,BMW,2022-11-22 22:41:00.087580,"['https://prod.pictures.autoscout24.net/listing-images/9ea6653e-c1c4-4208-a855-561ede510a65_e985a18e-14e4-4aa1-a75c-981ff9672075.jpg', 'https://prod.pictures.autoscout24.net/listing-images/9ea6653e-c1c4-4208-a855-561ede510a65_60dc2321-45f7-475f-ad1b-06907aa848b4.jpg', 'https://prod.pictures.autoscout24.net/listing-images/9ea6653e-c1c4-4208-a855-561ede510a65_41d445a0-9071-491a-a0fb-ace43172db00.jpg', 'https://prod.pictures.autoscout24.net/listing-images/9ea6653e-c1c4-4208-a855-561ede510a65_21e53d75-5a12-45d7-833c-a2c210ed4cb6.jpg', 'https://prod.pictures.autoscout24.net/listing-images/9ea6653e-c1c4-4208-a855-561ede510a65_2ad614ac-1cef-4635-a00c-7e3ee6410844.jpg', 'https://prod.pictures.autoscout24.net/listing-images/9ea6653e-c1c4-4208-a855-561ede510a65_adeaccf9-53a5-423a-9bcf-0a1b289c2eee.jpg', 'https://prod.pictures.autoscout24.net/listing-images/9ea6653e-c1c4-4208-a855-561ede510a65_47d68feb-0167-474c-a29e-8255bc4c17a2.jpg', 'https://prod.pictures.autoscout24.net/listing-images/9ea6653e-c1c4-4208-a855-561ede510a65_ecf702f0-ab28-419e-8d22-dcd22f829edd.jpg']",8,"Castellanza, IT",,,,S UV/Fuoristrada/Pick-up,Usato,Anteriore,5,5,,12 mesi,52.665 km,09/2020,110 k W (150 C V),Automatico,,Euro 6d-T EM P,,,,"Cerchi in lega (18"")",Bianco,Nero,Stoffa,"€ 0,-","€ 900,-","€ 0,-","€ 900,-",Kilometerleasing,10.000 km,48 Monate,"€ 169,78","4,99 %","4,89 % gebunden","€ 14.277,31",,,,,1.995 cm³,8,4,1.580 kg,,"€ 8.149,44","0,92","€ 0,0763","€ 0,0453",684094,Diesel,114 g/km (comb.),B IA NC O M ET.,,,,,,,,,,,,,,,,,
/annunci/bmw-120-120d-5p-xdrive-msport-auto-diesel-grigio-93e568ea-788f-4a46-b8a9-7b7bd2fbed43,BMW,2022-11-22 22:41:00.597402,"['https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_4d62b3cb-f652-46c1-b769-b8e73a41abbf.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_2f9c32eb-cda1-4c28-821d-6af7d2fabd29.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_5a1049e7-575f-4868-8f83-17715383bb0f.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_e4750d81-ca60-434d-a8fc-651c9d398e72.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_4fffbbe2-8e7c-4907-b268-6d9411bacaa2.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_ad58e76b-78b4-4d64-bee4-5c68c4777267.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_022f31a3-f618-4f34-8124-523fa56acf35.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_b00ec675-a616-4638-88e5-03d726e58522.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_083f9cc3-a163-4004-a251-b22d4ac0b3b9.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_6519349a-48f0-4033-b491-12a8e0df53e8.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_b1dd80e5-d253-41c1-b463-8ac539f00fae.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_d32c8cbd-c1ed-4f78-9017-f3ea6414a3ba.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_af3e82dc-7383-4a36-a75d-c85765b97616.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_ee92d897-42c8-43dc-b68c-c43ddd5c7c6d.jpg', 'https://prod.pictures.autoscout24.net/listing-images/93e568ea-788f-4a46-b8a9-7b7bd2fbed43_d6a109e2-e6df-44fc-b8b7-cc71211a67fa.jpg']",15,"Talmassons, IT","5,2",6,"4,8",Berlina,Usato,,5,5,,,126.000 km,11/2017,140 k W (190 C V),Semiautomatico,,Euro 6d-T EM P,Alzacristalli elettrici Bracciolo Chiusura centralizzata senza chiave Climatizzatore Controllo automatico clima Cruise Control Sedile posteriore sdoppiato Sensore di luminosità Sensore di pioggia Sensori di parcheggio assistito posteriori Specchietti laterali elettrici Start/Stop Automatico Volante in pelle Volante multifunzione,Autoradio Bluetooth Computer di bordo MP3 Sound system Vivavoce,Airbag conducente Airbag passeggero Airbag testa Antifurto Assistente abbaglianti Chiusura centralizzata Chiusura centralizzata telecomandata ES PFari L ED Fari di profondità antiabbagliamento Fari direzionali Fari full-L ED Fendinebbia Isofix Servosterzo Sistema di avviso di distanza Sistema di chiamata d'emergenza Sistema di controllo pressione pneumatici,Cerchi in lega Luce d'ambiente Sedili sportivi,Grigio,,Alcantara,"€ 0,-","€ 899,-","€ 199,-","€ 1.098,-",Kilometerleasing,10.000 km,60 Monate,"€ 319,-","1,99 %","1,99 % gebunden","€ 35.555,21",,,,,1.995 cm³,8,4,1.575 kg,,"€ 19.140,-","0,79","€ 0,1400","€ 0,0700",,Diesel,138 g/km (comb.),,"€ 23.000,-",-,"€ 23.000,-","€ 28.501,80","9,16 %","8,50 %","€ 471,88",,,,,,,,,,
